source,target
Marchosius,马科修斯
God of the Stove,灶神
Bosacius,浮舍
Marshal Vritras,腾蛇太元帅
Menogias,弥怒
General Kapisas,心猿大将
Bonanus,伐难
General Chizapus,螺卷大将
Indarias,应达
General Musatas,火鼠大将
Yan'er,胭儿
"""Big Sis""",「大姐」
Haagentus,哈艮图斯
God of Dust,尘之魔神
Havria,赫乌莉亚
God of Salt,盐之魔神
Sea Gazer,鸣海栖霞真君
Skybracer,移霄导天真君
Changsheng,长生
Baiwen,百闻
Baishi,百识
Baixiao,百晓
Ms. Yu,小雨
Anton Melnikov,安东·梅利尼科夫
Antoha,安托哈
Ninth Company Brevet Commander,「第九连队」临时连长
Temur,提莫尔
Danila,达尼拉
Radomir,拉多米尔
Katarina,卡塔琳娜
Qi Ding,戚定
Kun Jun,昆钧
Boyang,伯阳
Fujin,浮锦
Lingyuan,灵渊
Herblord,药君
Houzhang,侯章
Jiehu,接笏
Tao Dou,桃都
Bune,擘那
little cutie,小可爱
Tone-Deaf Bard,卖唱的
Prinzessin der Verurteilung,断罪之皇女
Amy,艾米
Immernachtreich,幽夜净土
Mr. Honorary Knight,荣誉骑士哥哥
Miss Honorary Knight,荣誉骑士姐姐
confinement room,禁闭室
Barbara Pegg,芭芭拉·佩奇
Kreideprinz,白垩之子
Chief Alchemist,首席炼金术士
Captain of the Investigation Team,调查小队队长
Calx,白垩
Rosaria,罗莎莉亚
Spindrift Knight,浪花骑士
Captain of the Reconnaissance Company,游击小队队长
aristocrat,旧贵族
Front-Line Surveyor,前进测绘员
Barbatos,巴巴托斯
Anemo Archon,风神
Caelestinum Finale Termini,终天的闭幕曲
Andrius,安德留斯
Boreas,玻瑞亚斯
Rhinedottir,莱茵多特
Barbeloth,芭比洛斯
the old hag,老太婆
I. Ivanovna N.,I·伊万诺夫娜·N
Adelinde,爱德琳
Hertha,赫塔
Draff Kätzlein,杜拉夫·凯茨莱茵
Seamus Pegg,西蒙·佩奇
Wolfy,小狼
Umoja,沃摩延
Uthabiti,乌沙博蒂
Malipo,马力卜
Ukumbuko,乌昆博库
Baraka,巴莱卡
Uwezo,乌威佐
Vuka,武卡
Xbalanque,希巴拉克
Haborym,赫布里穆
Kiongozi,基扬戈兹
Ifa,伊法
Cacucu,咔库库
Bidii,庇笛
Pacal,帕加尔
Wayna,瓦伊纳
Amina,阿米娜
Balam,帕兰
Lamanai,拉马奈
Tonina,图尼娜
Keita,凯塔
Alom,阿隆
Echuah,艾库瓦
Cipac,西帕克
Agemo,阿格莫
Cintli,钦特利
Chanca,夏安卡
Hiia,希伊亚
Mansa,曼萨
Bounama,布纳马
Siyah,希亚赫
Namaka,娜玛卡
Sumac,苏玛克
Hampeq,汉佩克
Yantasar,延塔莎
Caramuru,卡拉穆鲁
Kahuna,卡胡那
Milu Nui,米卢·努伊
Pakaa Nui,帕卡·努伊
Kupo Nui,库珀·努伊
Mahina Nui,马西娜·努伊
Wakea Nui,瓦凯·努伊
Pele Nui,佩蕾·努伊
Anchieta,安切塔
Aclla,爱可
Michica,米齐卡
Tundama,图达玛
Legba,雷格巴
Titu,蒂图
Jinghe,荆和
Tahmures,塔莫蕾
Cauich,卡乌胡
Apoxpalon,阿布帕隆
Iknal,伊克娜
Orqo,奥尔科
Mama Coco,卡卡妈妈
Cazcal,卡兹加
Tlamot,特阿墨
Nkunga,恩孔加
Liliuo,莉琉
Kaiulani,嘉乌兰妮
Kibangu,基班古
Atea,阿伽娅
Chuychu,葵可
Vichama,维查玛
Mallko,穆尔科
Comonqui,科莫奎
Tupac,图帕克
Karya,卡嘉
Viramdra,维兰德
Koolau,科奥劳
Kaulu,卡乌鲁
Kaeho,基耶霍
Nuu,努乌
Chikya,奇科娅
Huni,胡妮
Toba,多巴
Sanka,山下
Trinidad,特立尼达
Thiago,蒂亚戈
Ponche,庞塞
Burkina,布基纳
Kongamato,康加玛托
Mountain King,山王
Ponini,波尼尼
Poggi,波吉吉
Pocchi,波奇奇
Nanna,南娜
Imix,伊蜜
Cheven,夏温
Tlazplli,特拉佐莉
Nechca,妮赫佳
Nepecha,妮佩卡
Coyopa,科约帕
Kosterlitzky,科斯特利茨基
Baranov,巴拉诺夫
Golikov,戈利科夫
Yanovksy,雅诺斯基
Tarko,塔尔科
Totec,托泰克
Kunnau,昆纳鸟
Kuymi,库伊米
Guthred,古瑟雷德
Sanhaj,桑哈杰
Menilek,孟尼力克
Dargo,达尔戈
Kokpon,科科庞
Ardra,阿尔妲
Pumpu,蓬普
Nusta,努斯妲
Raman,拉曼
Osawe,欧莎薇
Iyoba,伊约芭
Kunak,库纳克
Libiac,利别科
Jember,吉恩布
Chimalli,奇马利
Yaretzi,雅蕾希
Acama,阿卡马
Ullanta,乌兰塔
Stadukhin,斯塔杜欧
Maztla,马兹拉
Nellan,涅兰
Mutota,穆托塔
Yopia,尤庇娅
Hueliyo,胡里约
Matlan,马特兰
Atoco,阿图科
Cochitta,柯奇妲
Ocotlan,奥科兰
Izcalli,伊卡力
Cuallee,库阿勒
Munay,穆纳伊
Abundi,阿邦迪
Cusco,库斯可
Allpa,阿尔帕
Coyllur,科优尔
Zhunan,朱南
Mukki,穆基
Huascar,瓦斯卡尔
Pixica,皮希加
Coya,柯娅
Chime,奇梅
Himpu,栖木普
Inkanak,因卡纳克
Tepal,特帕尔
Puma,普玛
Biram,庇兰
Cip,奇普
Caholom,卡胡鲁
Toltec,托尔特克
Paran,帕朗
Temach,特马乔
Lliwa,莉瓦
Lamizana,拉密萨纳
Taruka,塔卢加
Oberon,奥伯龙
"""Dopey Dazzler""",「炫彩呆子」
"""Mural Maniac""",「狂图捕手」
Bona,玻娜
Cocouik,绿松石
Copan,科潘
Och-Kan,奥奇坎
Liriwu,莉莉乌
Waxaklahun Ubah Kan,瓦萨克拉胡巴肯
Ixlel,伊雷尔
Ix Uxul Tz'ib Bolon Ch'ule-L,伊·奎库叙·茨博隆·库·雷尔
Conulaf,奥罗卢柯
Magnifico,马尼菲科
Mazkal,玛兹嘉
"""Kururuk""",「咕噜噜」
Icayo,伊卡尤
"""Ripple""",「小波」
"""Jade""",「翡翠」
"""Marigold""",「金盏花」
Xueyoni,库约尼
Manyoya,曼尤雅
Acomitl,阿科米蒂
Matahga,马塔伽
Hine,伊妮
Haumia,夏芙米娅
Acatl,阿卡特
Nlteego,恩铁戈
Mausau,马索
Montluson,蒙吕松
Grudoc,格洛德克
Allier,艾列尔
Aywastin,阿依瓦丁
Besuci,贝苏琪
Chogan,乔甘
Huitzilin,维奇琳
Otila,欧蒂菈
Tlapo,特拉波
Mint Daifuku,薄荷大福
Tonaca,图娜卡
Urubamba,乌鲁班巴
Nanaxa,纳纳卡
Yolo,尤洛
Waaj,瓦阿吉
Pahua,帕华娅
Tecoma,秦库马
Capulin,卡布林
Atolli,阿托力
Masa,阿麦
Macacoz,马察科
Xona,索鸟娜
Vanana,瓦娜娜
Kulemana,库蕾玛娜
Sage-Lord of Fungi,蕈之贤主
Mushwatalli,蘑瓦塔里
Asmu,爱茜蘑
Huzziya,菇兹亚
Ammuna,阿蘑娜
Bifrons,比夫茏
Chatraka,迦陀迦
Ma'chah,马范
Yoleehe,尤鲁赫
Linaha,莉娜夏
Illimani,伊伊马尼
Suriqui,苏里奎
Kimosi,基莫西
Nzaya,妮扎娅
Secret Source Servant,秘源龙仆
Ehecatl,厄卡特尔
Amaru,阿玛鲁
Xiuhcoatl,修库特尔
Kukulkan,库库尔坎
Sage of the Stolen Flame,盗火贤者
Ayo,阿尤
Metzcala,梅兹卡拉
Bro.,哥们
Tumaini,杜麦尼
Aguara,阿瓜拉
Sutura,苏图拉
Kantalo,坎塔鲁
Tsaritsa,冰之女皇
Belyi Tsar,白沙皇
Forest Watcher,巡林官
Master Tighnari,提纳里师父
Eleazar,魔鳞病
Madam Faruzan,珐露珊前辈
Shrine of Maya,摩耶之殿
Lesser Lord Kusanali,小吉祥草王
Buer,布耶尔
"Blessed One of Wisdom, Mahakusaladhamma",摩诃善法大吉祥智慧主
Nabu Malikata,娜布·玛莉卡塔
Greater Lord Rukkhadevata,大慈树王
Azar,阿扎尔
Grand Sage,大贤者
Haypasia,海芭夏
Dunyarzad Homayani,迪娜泽黛·呼玛伊
Setaria,塞塔蕾
Rahman,拉赫曼
Loumelat,鲁梅拉
Karkata,卡卡塔
Mechanical Crab,机械螃蟹
Abattouy,阿巴图伊
Inayah,阿娜耶
Sheikh Zubayr,谢赫祖拜尔
Alrani,爱拉尼
Nabiya,娜比雅
Harut,哈鲁特
Marut,玛鲁特
Aryadeva,阿亚德瓦
Arezo,阿莲佐
Sadife,赛达菲
Augustus Lovelace,奥古斯都·洛夫莱斯
Oleg,奥列格
Effendi,阿芬迪
Jeht,婕德
Jebrael,哲伯莱勒
Ufairah,优菲
Tirzad,提尔扎德
Benben,奔奔
Samail,萨梅尔
Babel Tanit,芭别尔·塔尼特
Matriarch,主母
Liloupar,利露帕尔
Azariq,阿萨里格
Aderfi,阿德菲
Yuften,尤夫腾
Tadhla,塔德菈
Masseira,马塞拉
Zoya Snezhevna,佐娅·雪奈茨芙娜
Parvezravan,帕维兹拉万
Froderock Fronkonsteen,佛罗德洛克·弗朗孔斯汀
Ferigees,菲莉吉丝
King Deshret,赤王
Al-Ahmar,阿赫玛尔
Amun,阿蒙
Varuna,法留纳
Arapacati,兰帕卡提
Arachanda,兰阐荼
Arasaka,兰萨卡
Arapas,兰阿帕斯
Araphala,兰非拉
Arashakun,兰沙恭
Araminali,兰弥那离
Khayyam,海亚姆
Ilyas,伊利亚斯
Siraj,西拉杰
Kusayla,库塞拉
Shahzaman Homayani,沙扎曼·呼玛伊
Idrisi,伊德里西
Bashar,巴沙尔
Tikriti,提克里蒂
Mishal,米沙勒
Eide,埃德
Chlothar Alberich,克洛达尔·亚尔伯里奇
Sinner,罪人
Mehrak,梅赫拉克
Zaha Hadi,萨赫哈蒂
Nur,努尔
Dragon of Verdure,翠草之龙
Lady Sorush,斯露莎大人
Bloomguard of the Pari,花灵之「勇者」
Twin-Horned Chaplet,双角的花冠
Yasnapati,谒颂主
Vijnanapati,识主
Sosi,索希
Zurvan,祖尔宛
Mihir,米希尔
Rashnu,拉沙鲁
Simurgh,西摩格
Klingsor,克林索尔
Jarjar,贾尔贾
Fedhri,菲多赫
Aarav,阿拉夫
Bamoun,巴穆恩
Atossa,阿托莎
Caribert Alberich,卡利贝尔·亚尔伯里奇
Edgar,艾德加
Sylvain,席尔万
Lucien,卢西恩
Yelena,叶莲娜
Kirya,基里亚
Narzam,娜赞
Ulrike,乌尔丽克
Ineffa,伊涅芙
Meatnado,兽肉旋风
Apple Roly Poly,苹果卷卷
"""Chatter of joyful Nights""",「欢夜畅谈」
"""Abyssal Bounty""",「暗渊之获」
"""Lingering Euphonia""",「余音」
Dream-Mirror Remnant,魂梦残影
"Key to the ""Hibernation Chamber""",「休眠仓」的钥匙
A Space and Time for You,你存在的时空
Crystallina Chapter,磷星之章
Azurelight,苍耀
Stygian Onslaught,幽境危战
Travelers' Tales: Gilded Chapter,游逸旅闻·鎏溢之章
Battle of Imagined Arrays,阵列推想大作战
Fruit Supplement Survey,茹果食补大调研
Companion Caper Chronicles,伙伴冒险大战记
Darwish,达尔维什
Atashye,阿塔希耶
Fadaweh,法德瓦
"""Ultra-Amazing Miracle Tonic Guaranteed to Make You Taller with Zero Effort!""",「保证让人轻轻松松长高超厉害灵药」
Special Fortune Slip,特别的「御神签」
Dust of Enlightenment,启圣之尘
Violet Court,菫色之庭
Golden Raven Insignia,攫金鸦印
Definitely Not Bar Food!,绝对不是下酒菜
Invigorating Pizza,提神醒脑披萨
Cherries Snow-Laden,宿雪桃红
New Year's Cheer,岁夜欢哗
Every Aspect of a Warrior,勇士的每一面
Sol Invictus Chapter,不败阳焰之章
Shuyu's Baffling Beetle Battle Bowl,漱玉工奇斗虫大玄境
"""The Sea's Silent Shade""",「凝静的海色」
Echoes of an Offering,来歆余响
Gladiator's Finale,角斗士的终幕礼
Ocean-Hued Clam,海染砗磲
Kujou Sara,九条裟罗
Hiiragi Hiroshi,柊弘嗣
Ruu,阿瑠
Schwanenritter,白鹄骑士
Xinyan,辛焱
Xiao,魈
Baizhu,白术
Eula Lawrence,优菈·劳伦斯
Aragita,兰耆都
Clear Pool and Mountain Cavern,华池岩岫
Momiji-Dyed Court,椛染之庭
Quelled Creeper,灭诤草蔓
Majestic Hooked Beak,蕈王钩喙
Gilded Scale,鎏金之鳞
Tears of the Calamitous God,祸神之禊泪
Everamber,亘古树海之一瞬
Old Handguard,破旧的刀镡
Kageuchi Handguard,影打刀镡
Famed Handguard,名刀镡
Fungal Spores,蕈兽孢子
Dark Statuette,夤夜刻像
Marked Shell,锲纹的横脊
Ruin Cruiser,遗迹巡弋者
Fatui Skirmisher - Pyroslinger Bracer,愚人众先遣队·火铳游击兵
Fatui Skirmisher - Cryogunner Legionnaire,愚人众先遣队·冰铳重卫士
Fatui Skirmisher - Hydrogunner Legionnaire,愚人众先遣队·水铳重卫士
Beisht,跋掣
Black Serpent Knight: Rockbreaker Ax,黑蛇骑士·摧岩之钺
Fungus,蕈兽
Floating Hydro Fungus,浮游水蕈兽
Floating Dendro Fungus,浮游草蕈兽
Stretchy Anemo Fungus,伸缩风蕈兽
Stretchy Geo Fungus,伸缩岩蕈兽
Stretchy Pyro Fungus,伸缩火蕈兽
Whirling Electro Fungus,旋转雷蕈兽
Whirling Cryo Fungus,旋转冰蕈兽
Whirling Pyro Fungus,旋转火蕈兽
Grounded Hydroshroom,陆行水本真蕈
Grounded Geoshroom,陆行岩本真蕈
Winged Dendroshroom,有翼草本真蕈
Winged Cryoshroom,有翼冰本真蕈
Jadeplume Terrorshroom,翠翎恐蕈
Miso Soup,味噌汤
Bamboo Shoot Soup,腌笃鲜
Konda Cuisine,绀田煮
Slow-Cooked Bamboo Shoot Soup,文火慢炖腌笃鲜
Yearning,憧憬
Starshroom,星蕈
Activated Starshroom,活化的星蕈
Scorched Starshroom,枯焦的星蕈
Liyue Shrine of Depths Key,璃月地灵龛之钥
Fontaine Shrine of Depths Key,枫丹地灵龛之钥
Sigil of Permission,百无禁忌箓
Sundial of Ages,岁时之晷
Medaka,花鳉
Glaze Medaka,琉璃花鳉
Sweet-Flower Medaka,甜甜花鳉
Aizen Medaka,蓝染花鳉
Venomspine Fish,鸩棘鱼
Rusty Koi,锖假龙
Toki Alley Tales,鹮巷物语
Kusava,苦舍桓
Reins of Revival,苏生之辔
Divine Bridle,神舆之辔
Vasmrti,桓斯弥利底
Vasoma Fruit,恒素果
Barsam Flower,钵参花
Plume of Purifying Light,净光翎
Opulent Splendor,霓裾翩跹
Red Dead of Night,殷红终夜
Shroomboar,蕈猪
Sumpter Beast,驮兽
Shaggy Sumpter Beast,牦牦驮兽
Rishboland Raja,长鬓虎罗阇
Tent Tortoise,玳龟
Melusine,美露莘
Cape Oath,誓言岬
Chihu Rock,吃虎岩 / 螭虎岩
Pearl Galley,珠钿舫
Minlin,珉林
Luhua Pool,渌华池
Cuijue Slope,翠玦坡
Mt. Aocang,奥藏山
Dihua Marsh,荻花洲
Konda Village,绀田村
Tatarasuna,踏鞴砂
Nazuchi Beach,名椎滩
Yashiori Island,八酝岛
Fort Fujitou,藤兜砦
Fort Mumei,无明砦
Watatsumi Island,海祇岛
Fort Hiraumi,平海砦
Amakumo Peak,天云峠
Mt. Kanna,菅名山
Chatrakam Cave,茸蕈窟
Yasna Monument,谒颂幽境
Vanarana,桓那兰那
Mahavanaranapna,玛哈桓那兰那薜那
Old Vanarana,往昔的桓那兰那
The Dune of Magma,铄石之丘
The Sands of Al-Azif,啁哳之沙
Dunes of Steel,镔铁沙丘
Bayt Al-Sukr,酣乐之殿
Girdle of the Sands,苍漠囿土
Realm of Farakhkert,浮罗囿
Hills of Barsom,跋松顶
"Tree of Dreams, Vanarana",桓那兰那的梦之树
Vamadha,桓摩达
Zohrah Mushroom,须罗蕈
Jinn Shrine,镇灵神龛
Ruebright Bloom,明芸花
Barsom,跋尔松
Soul Bell,灵宝铎
Komaniya Express,狛荷屋
"Battlefield of Dice, Cats, and Cards",骰子、猫与卡牌的战场
The Ocean Pearl,海上盛珠钿
The Chi of Yore,古云有「螭」
There's no restoring this past land of beauty,恨繁囿兮作土
Luhua Landscape,渌华景画
Sacred Sakura Cleansing Ritual,神樱大祓
Yougou Cleansing,影向祓行
Tatara Tales,踏鞴物语
"""Fang of Watatsumi""",「海祇之牙」
"""Tail of Watatsumi""",「海祇之尾」
"""Heart of Watatsumi""",「海祇之心」
Yachimatahiko's Trial,八衢彦之试炼
Yachimatahime's Trial,八衢姬之试炼
The Sun-Wheel and Mt. Kanna,日轮与菅名山
Until Vana is Healed,直到「桓那」痊愈
Trulla Chapter,长杓之章
Vultur Volans Chapter,天隼之章
"O Shrine, Show Your Power Once Again!",神龛啊，再次显灵吧！
Fir Wood,杉木
Athel Wood,柽木
Euphonium Unbound: Soaring,千籁至音·飖扬
Silk Flower,霓裳花
Cor Lapis,石珀
Dendrobium,血斛
Fluorescent Fungus,幽灯蕈
Nara,那菈
Vana,桓那
Elemental Dice,元素骰
roll,投掷（元素骰）
reroll,重投（元素骰）
Teachings of Admonition,「诤言」的教导
Guide to Admonition,「诤言」的指引
Philosophies of Admonition,「诤言」的哲学
Debris of Decarabian's City,高塔孤王的残垣
Boreal Wolf's Milk Tooth,凛风奔狼的始龀
Spring of Pure Sacred Dewdrop,纯圣露滴的醴泉
The Dockhand's Assistant,船坞长剑
Summit Shaper,斫锋之刃
Makhaira Aquamarine,玛海菈的水色
Halberd,钺矛
Ako's Sake Vessel,赤穗酒枡
Vortex Vanquisher,贯虹之槊
Engulfing Lightning,薙草之稻光
Rust,弓藏
Prototype Crescent,试作澹月
Ibis Piercer,鹮穿之喙
Elegy for the End,终末嗟叹之诗
Twin Nephrite,甲级宝珏
Prototype Amber,试作金珀
Jadefall's Splendor,碧落之珑
Central Hub,核心轮縠
Garvipidam,伽吠毗陀
Shriya,施芮娅
Fungus Mechanicus,灵蕈棋阵
Lil' Fungus / Lil' Fungi,小小灵蕈
Nascent Bamboo Shoot,萌蘖的竹笋
The Exquisite Night Chimes,磬弦奏华夜
Fabulous Fungus Frenzy,智巧灵蕈大竞逐
Three Realms Gateway Offering,三界路飨祭
Endora,嫣朵拉
Feather of Jagged Peaks,嵯峨群峰之翼
Sundial of Enduring Jade,星罗圭璧之晷
Goblet of Chiseled Crag,巉岩琢塑之樽
Orichalceous Time-Dial,金铜时晷
General's Ancient Helm,将帅兜鍪
Tutelage: Nest-Bed of Ambition,稽古·砺伏之巢床
Autumn Frost,雾凇秋分
Gilded Hall,鎏金殿堂
Verdant Gift,一捧绿野
Wave-Kissed Sands,白浪拂沙
Nod-Krai,挪德卡莱
Fatui,愚人众
Legends Ablaze: Cross-Border Brawl,炽烈传说·跨界乱斗
Operation Downpour Simulation,雨阵奔流之述演
Chronicle of Shifting Stratagems,机谋变策战记
Nampole,纳博尔
Nighttime Whispers in the Echoing Woods,回声之林夜话
Dahlia,塔利雅
Temple of the Wolf,北风之狼的庙宇
Temple of the Lion,南风之狮的庙宇
Eagle's Gate,鹰之门
Secret Source Airflow Accumulator,秘源积气喉
Ascended King,升扬之王
Sublimated Queen,升华之后
Secret Source Automation: Overseer Device,秘源机兵·统御械
Candy Shells,贝壳彩糖
Petit Gateau Debord: Revised Version,德波小蛋糕·改良型
Gateau Debord: Magnifique,德波大蛋糕·绚丽型
Emotional Support,情感支持
"Dazzling, Mysterious Gift",绮灿而神秘的赠礼
Stormterror's Lair,风龙废墟
Paralogism,悖理
Incandescent Ode of Resurrection,炽烈的还魂诗
Dulciaria Structura Chapter,香糕塔之章
The Mages' Tea Party,魔女的茶会
Film Kamera,电影机
Ascended Sample: Knight,升扬样本·骑士
Ascended Sample: Queen,升扬样本·王族
Ascended Sample: Rook,升扬样本·战车
Symphonist of Scents,香韵奏者
Sequence of Solitude,冷寂迸音
Whirling Waltz,和旋舞剧
Mellow Manor,悠悠慢庄园
Movie Masterpieces,妙影名篇
Eclectic Escapades,缤纷蹈险奇行
Chevalmarin Film Fantasyland,海薇玛映影欢乐城
Chevalmarin Amusement Park Commemorative Map,海薇玛乐园全景纪念图
BanolKax,瓦努卡
Chajal,査霍尔
Kanaka,卡纳卡
Argenteau,阿让托
Angoulvant,安格尔望
Rhythm Ball Meztli,节拍撞球·梅兹特利篇
Fusion Profusion: DJ Remix Selections,《至强融合·控碟乐师重混甄选》
Scarlett,斯嘉莉
artifact,圣遗物
Flower of Life,生之花
Plume of Death,死之羽
Sands of Eon,时之沙
Goblet of Eonothem,空之杯
Circlet of Logos,理之冠
Adventurer,冒险家
Archaic Petra,悠久的磐岩
Berserker,战狂
Blizzard Strayer,冰风迷途的勇士
Bloodstained Chivalry,染血的骑士道
Brave Heart,勇士之心
Deepwood Memories,深林的记忆
Defender's Will,守护之心
Desert Pavilion Chronicle,沙上楼阁史话
Emblem of Severed Fate,绝缘之旗印
The Exile,流放者
Flower of Paradise Lost,乐园遗落之花
Gambler,赌徒
Gilded Dreams,饰金之梦
Golden Troupe,黄金剧团
Heart of Depth,沉沦之心
Husk of Opulent Dreams,华馆梦醒形骸记
Instructor,教官
Lavawalker,渡过烈火的贤人
Lucky Dog,幸运儿
Maiden Beloved,被怜爱的少女
Martial Artist,武人
Noblesse Oblige,昔日宗室之仪
Nymph's Dream,水仙之梦
Pale Flame,苍白之火
Prayers for Destiny,祭水之人
Prayers for Illumination,祭火之人
Prayers to Springtime,祭冰之人
Prayers for Wisdom,祭雷之人
Resolution of Sojourner,行者之心
Retracing Bolide,逆飞的流星
Scholar,学士
Shimenawa's Reminiscence,追忆之注连
Tenacity of the Millelith,千岩牢固
Thundering Fury,如雷的盛怒
Thundersoother,平息鸣雷的尊者
Tiny Miracle,奇迹
Traveling Doctor,游医
Vermillion Hereafter,辰砂往生录
Viridescent Venerer,翠绿之影
Vourukasha's Glow,花海甘露之光
Wanderer's Troupe,流浪大地的乐团
Song of Days Past,昔时之歌
Unfinished Reverie,未竟的遐思
Obsidian Codex,黑曜秘典
Scroll of the Hero of Cinder City,烬城勇者绘卷
Long Night's Oath,长夜之誓
Finale of the Deep Galleries,深廊终曲
Foul Legacy Transformation,魔王武装
Crimson Lotus Moth,红莲蛾
Everlasting Lord of Arcane Wisdom,七叶寂照秘密主
"Shouki no Kami, the Prodigal",正机之神
Wanderer,流浪者
Pantalone,潘塔罗涅
Charlotte,夏洛蒂
Lyney,林尼
Lynette,琳妮特
Freminet,菲米尼
Navia,娜维娅
Wriothesley,莱欧斯利
Sigewinne,希格雯
Clorinde,克洛琳德
Champion Duelist,决斗代理人
Neuvillette,那维莱特
Furina,芙宁娜
Hydro Archon,水神
Chevreuse,夏沃蕾
Chiori,千织
Emilie,艾梅莉埃
Escofier,爱可菲
Carter Scherbius,卡特·谢尔比乌斯
Basil Elton,贝瑟·埃尔顿
Lochknight,纯水骑士
Giverny,吉沃尼
Bernette,贝妮蒂
Melissa,玫莉莎
Essonnes,埃松
Jolienne,约莲妮
Joinville,瑞安维尔
Desyree,黛丝蕾
Esmond,埃斯蒙德
Sedene,塞德娜
Lauwick,劳维克
Pauleau,波洛
Dulphy,迪尔菲
Buraud,比罗
Elain,埃兰
Vilmant,维尔芒
Lepine-Pauline,乐平波琳
Thelxie,特尔克西
Zuria Destree,祖莉亚·德斯特雷
Jalacan,贾拉康
Lescot Destree,莱斯科·德斯特雷
Caterpillar,卡特皮拉
Lanoire,莉诺尔
Narzissenkreuz,纳齐森科鲁兹
Boethius,波爱修斯
Scylla,斯库拉
Cassiodor,卡西奥多
Wolsey,韦尔赛
Honorary Knight,荣誉骑士
Paimon,派蒙
Phanes,法涅斯
The Trinity of Moon Goddesses,三月女神
Kaedehara Kazuha,枫原万叶
Yoimiya,宵宫
Kamisato Ayaka,神里绫华
Kamisato Ayato,神里绫人
Thoma,托马
Sayu,早柚
Yae Miko,八重神子
Fried Tofu With All the Frills,玲珑油豆腐
Arataki Itto,荒泷一斗
Ushi,阿丑
beetle fighting,斗虫
Kuki Shinobu,久岐忍
Gorou,五郎
Sangonomiya Kokomi,珊瑚宫心海
Divine Priestess,现人神巫女
Swordfish Ⅱ,剑鱼二番队
Shikanoin Heizou,鹿野院平藏
Kirara,绮良良
Raiden Shogun,雷电将军
Plane of Euthymia,一心净土
Musou Isshin,梦想一心
Ei,影
Makoto,真
Magatsu Mitake Narukami no Mikoto,祸津御建鸣神命
Yumemizuki Mizuki,梦见月瑞希
Aikawa Susumu,蓝川丞
Shiba Murasaki,柴葉紫
Hyakujitsuhaku Shion,百日白白音
Kitsune Saiguu,狐斋宫
Ioroi,五百藏
Kama,阿釜
Kapatcir,卡帕奇莉
Kanna Kapatcir,菅名卡帕奇莉
Thunderbird,雷鸟
Enjou,渊上
Aru,亚琉
Abrax,阿布拉克
Aberaku,阿倍良久
Erebos,厄瑞玻斯
Eboshi,乌帽子
Spartacus,斯巴达克
Teppei,哲平
Neko,寝子
"Self-Proclaimed ""Provisional Head Priestess of the Asase Shrine""",自称「浅濑神社代宫司」
Nameless,无名
"""Masanori""",「公义」
Kid Kujirai,鲸井小弟
Hanbei,范兵卫
foreign attaché,远国御用
Dainsleif,戴因斯雷布
Halfdan,哈夫丹
Xiangling,香菱
Keqing,刻晴
Ningguang,凝光
Qiqi,七七
Xingqiu,行秋
Chongyun,重云
Beidou,北斗
Ganyu,甘雨
qilin,麒麟
Hu Tao,胡桃
Yanfei,烟绯
Xingyan,星燕
Yun Jin,云堇
Shenhe,申鹤
Yelan,夜兰
Yaoyao,瑶瑶
Geo Archon,岩神
Gaming,嘉明
Lan Yan,蓝砚
Guoba,锅巴
Pervases,铜雀
Guizhong,归终
Brass Bull Zhao,赵铁牛
Chen the Flower,陈娇花
Yanbo,彦博
Xamaran,赞玛兰
Uncle Luo,罗叔
Little Mao,小茂
Shuyu,漱玉
Yuandai,远黛
Man Chai,文仔
Yip Tak,叶德
Hautemontagne,沃特蒙泰涅
Jean Gunnhildr,琴·古恩希尔德
Acting Grand Master,代理团长
Amber,安柏
Outrider,侦察骑士
Baron Bunny,兔兔伯爵
Kaeya Alberich,凯亚·亚尔伯里奇
Lisa Minci,丽莎·敏兹
Venti,温迪
Razor,雷泽
Lupical,卢皮卡
Noelle,诺艾尔
Fischl von Luftschloss Narfidort,菲谢尔·冯·露弗施洛斯·那菲多特
Oz,奥兹
Ozvaldo Hrafnavins,奥兹华尔多·赫芙那梵茵斯
Diluc Ragnvindr,迪卢克·莱艮芬德
Darknight Hero,暗夜英雄
Klee,可莉
Jumpy Dumpty,蹦蹦炸弹
Sparks 'n' Splash,轰轰火花
Dodoco,嘟嘟可
Sucrose,砂糖
Albedo,阿贝多
Astrologist Mona Megistus,阿斯托洛吉斯·莫娜·梅姬斯图斯
Mika Schmidt,米卡·施密特
Dvalin,特瓦林
Stormterror,风魔龙
the Four Winds,四风守护
Dominator of Wolves,奔狼的领主
Timaeus,蒂玛乌斯
Troubled Lianne,苦恼的莉安
Vennessa,温妮莎
Eroch,伊洛克
Goth,歌德
Jilliana,吉丽安娜
Victoria,维多利亚
Viktor,维克多
Tsarevich,查耶维奇
Mualani,玛拉妮
Kachina,卡齐娜
Kinich,基尼奇
K'uhul Ajaw,库胡勒阿乔
Almighty Dragonlord (Self-Proclaimed),伟大圣龙 (自称)
Citlali,茜特菈莉
Granny Itztli,黑曜石奶奶
Xilonen,希诺宁
Iansan,伊安珊
Chasca,恰斯卡
Mavuika,玛薇卡
Pyro Archon,火神
Ororon,欧洛伦
Varesa,瓦雷莎
"Yohualtecuhtin, Lord of the Night",夜神
Quenin,夸恩因
Loshts,卢施
Mposo,恩波索
Dutta,杜塔
Runtuma,伦图
